pid,edu,edu_cl,edu_source,student,student_cl,student_source,house,house_cl,house_source,car,car_cl,car_source,consume,consume_cl,consume_source,income,income_cl,income_source,married,married_cl,married_source,kids,kids_cl,kids_source,provident_fund,provident_fund_cl,provident_fund_source,social_security,social_security_cl,social_security_source,day
13911110001,8,0.4259,2,0,0.0625,2,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,20201225
13911110002,8,0.9792,5,0,0.7279,5,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,20201225
13911110003,7,0.4931,2,0,0.7057,5,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,20201225
13911110004,6,0.6265,2,1,0.5491,2,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,20201225
13911110005,6,0.7037,2,1,0.2849,2,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,20201225
13911110006,8,0.4635,2,0,0.0834,2,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,20201225
13911110007,8,0.5254,2,0,0.796,6,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,20201225
13911110008,8,0.5197,2,0,0.7329,5,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,20201225
13911110009,7,0.3824,2,0,0.773,6,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,20201225
13911110010,8,0.9462,7,0,0.7808,6,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,20201225
